Correct	Eps	Cds	P
1	-0.0161440814379644	->	8.34603340523067e-18
0	0.0307132309795821	<-	5.64495008204725e-44
1	-0.0690714298390206	->	1.08424717156161e-62
0	0.0223551579614653	<-	5.82155201910737e-31
1	-0.0935557401127176	->	0
1	-0.0857920345819195	->	0
1	-0.0858510997089399	->	0
1	-0.155676027235015	->	0
1	-0.0660636911668564	->	0
1	-0.0716668621917044	->	0
1	-0.0878290206008315	->	0
1	-0.0565096545406465	->	0
1	-0.00883032824429231	->	3.49410674081681e-10
0	0.00161173592155373	<-	0.0295829203949849
0	0.00206565430676175	<-	0.00332014001784697
1	-0.0151196553730385	->	4.93994162215195e-14
1	-0.0668708388961552	->	0
1	-0.0423273217589301	->	1.72356493165906e-40
0	0.00797650047712561	<-	2.55665438804432e-05
1	-0.0960186743701049	->	9.24121342720485e-86
1	-0.00425985003406038	->	4.85746526762281e-06
1	-0.021533195683368	->	4.16988314792942e-20
1	-0.0779170045794428	->	3.19887151359939e-75
1	-0.0642069885162585	->	9.80565001600521e-60
1	-0.0079055538729893	->	1.89410542090634e-31
1	-0.04714704226525	->	7.28768166189546e-182
1	-0.0802754468649145	->	1.25558387262862e-298
1	-0.0132786770152785	->	1.30501236842594e-48
1	-0.0324720466600039	->	5.81587359208119e-108
1	-0.0111058599077563	->	2.75694916132724e-43
0	0.00118625521132887	<-	2.60003572708808e-05
1	-0.0710472964366314	->	2.66593524998696e-237
1	-0.0722708122324319	->	1.358750007908e-50
1	-0.0486973853397689	->	7.74326477151018e-35
1	-0.0379647052145731	->	4.28794480892958e-28
1	-0.0446072269396687	->	1.66346401970148e-31
1	-0.0558900167172141	->	8.89445654594916e-44
1	-0.0520911628961582	->	3.49315373960803e-93
1	-0.0155652191958454	->	8.18820647330974e-16
1	-0.059178866924126	->	1.75299666242932e-87
1	-0.0180343030557241	->	1.47963626757982e-29
1	-0.0666889940952148	->	0
0	0.0034484927469608	<-	6.8983804767903e-141
1	-0.0011603393955486	->	4.16173001581452e-46
1	-0.00101760084182712	->	2.19458179240359e-38
0	0.00816993634185059	<-	0
0	0	--	1
1	0.00143440698868735	<-	0.154869986277707
1	0.00616213844221181	<-	4.73587547810523e-07
1	0.00881993113336244	<-	7.47027420978976e-10
1	0.0326374882322866	<-	7.40786693478721e-34
0	-0.00691375790486581	->	0.000100561936116685
0	-0.00508112762056956	->	0.0011536360540902
1	0.0125549121491142	<-	5.50417833986799e-08
0	-0.0101206551765031	->	1.40666599230455e-06
0	-0.00976440723529048	->	2.26034730174028e-06
0	-0.00119648011475215	->	0.203324511298724
1	0.0173084044336169	<-	9.82203695788634e-11
0	-0.00367337569583859	->	0.00751687637955949
1	-0.0270106183889437	->	6.08587251738344e-10
1	-0.00219945142278599	->	9.41283034462715e-20
0	0.00703136176121288	<-	2.65660015578502e-62
0	0.00290395325211779	<-	2.60627546701149e-25
1	0.028852840388555	<-	3.07582755839647e-73
1	0.0363270353220512	<-	0
0	0	--	1
1	-0.0258515097655179	->	2.27777296467993e-146
1	0.00205223807024901	<-	1.39854003074335e-87
0	0.0306928073559335	<-	2.19123005391245e-21
0	-0.0152722950744448	->	3.16920642205017e-12
1	-0.015550050626654	->	8.31929126579875e-13
1	0.00217538297441056	<-	2.44065099513483e-61
1	-0.0218046005817328	->	2.56549591856073e-70
1	0.00575057352664221	<-	1.87997344914591e-22
1	0.014585474362077	<-	3.91457108182146e-59
1	-0.0118508844476585	->	5.27325354252852e-23
0	0.00441003195465128	<-	3.62701304143277e-09
0	0.00473660440311963	<-	2.6764427631852e-13
0	-0.00128157131887241	->	8.20576467135033e-21
1	-0.187510879676035	->	0
0	0.00548465901049222	<-	2.87426479019625e-09
1	-0.031147924941452	->	0
1	-0.0237123447495575	->	1.87133541741656e-24
0	-0.00611553993651048	->	0.000371761288941186
0	-0.00519014423751041	->	0.00279136958974643
1	-0.00947432899265799	->	3.40987937629849e-06
1	0.0127161803202019	<-	3.16845916577364e-07
1	-0.00559434647687562	->	4.6614639054257e-14
1	-0.0668771783297688	->	0
1	-0.0922987579874263	->	0
1	-0.0539567662681063	->	0
0	0.0160579869255314	<-	9.81830180318466e-10
0	0.00542812180125385	<-	0.0366807648052692
1	0.0661164508473625	<-	3.83136761642022e-303
1	-0.0107756171503833	->	1.61044131393075e-07
1	-0.00896172571228304	->	1.19253005820598e-06
0	0.0279942035166137	<-	2.44542881133813e-08
1	-0.00535487188347206	->	0.0349950251850214
1	-0.0419993669736946	->	6.98454306958552e-10
0	-0.00830299516760991	->	0.000754512137188585
