Correct	Eps	Cds
0	6.37429192033168	<-
1	-1.84318873781065	->
0	4.53602450218481	<-
1	-1.61583627169265	->
1	-0.196519731156686	->
1	-2.31317864538665	->
1	-0.149622609230427	->
1	-0.0592768032244493	->
1	-6.89008068304607	->
1	-4.04050050118934	->
1	-2.15638620535604	->
1	-1.88728649431601	->
1	-0.915417831171229	->
1	-0.795135361466883	->
0	5.69228499681988	<-
1	-0.0492033676632051	->
1	-2.19115814904361	->
0	2.41145192460573	<-
1	-3.79069543112319	->
0	4.43239582882438	<-
1	-3.68145615595752	->
0	0.38511252167673	<-
1	-0.0998486711529729	->
0	0.16638722280232	<-
1	-6.15885085659688	->
1	-7.08053888145439	->
1	-7.36504456164717	->
1	-7.03097147176296	->
1	-7.83886606321336	->
1	-6.18499139364705	->
1	-5.93477598026325	->
1	-8.59611625530357	->
1	-0.186784270916743	->
1	-1.29377759703083	->
1	-1.11540608359927	->
1	-0.599815978221542	->
1	-1.86182105324037	->
1	-2.40274885189499	->
1	-3.41580966115841	->
0	0.0475520733296797	<-
1	-0.874231348333321	->
0	0.0212462308617898	<-
0	0.03375561320345	<-
0	0.0186346542961147	<-
0	0.113539482557393	<-
1	-0.0154849484618786	->
1	9.89594244644635	<-
0	-0.538277224121277	->
1	3.04959952518212	<-
1	2.72278286533177	<-
1	2.14946472664683	<-
0	-7.28333618999364	->
0	-7.28290024553956	->
0	-7.28944014121948	->
0	-7.3955582133119	->
0	-7.3955582133119	->
0	-7.4183704385576	->
0	-7.36297371705014	->
0	-7.46562040023962	->
1	-1.73240837997905	->
1	-0.0115116313647139	->
0	0.106754628712171	<-
1	-0.0581141559418725	->
1	15.255969780131	<-
0	-0.032245242186562	->
0	0.0118503710335283	<-
1	-0.574379728632577	->
1	0.657847765707096	<-
0	8.16795199261658	<-
0	-5.75363172980904	->
1	-0.575023627479089	->
0	-6.87162611744849	->
1	-0.200641528308791	->
0	-0.181079574419297	->
0	-0.77781296217842	->
1	-0.500572286307266	->
1	-0.214957518131955	->
1	-0.0767609727434948	->
0	-0.624308547400613	->
1	-1.12247287808897	->
1	-0.841897099498018	->
0	0.100337351686534	<-
1	-4.1302025303607	->
1	0.375450818905207	<-
1	2.54783251202097	<-
1	-1.70615512759913	->
1	1.74460853753614	<-
1	-0.40861646070765	->
1	-0.057604055157201	->
1	-15.1711039051031	->
1	-15.1134998499459	->
1	-2.54478416513502	->
1	-2.58289851760587	->
1	0.0733127639692555	<-
1	-2.316646705331	->
0	1.66158817758132	<-
0	2.87498459005952	<-
0	4.04803009223411	<-
0	1.17304550217459	<-
1	2.640847	<-
