Correct	Eps	Cds
1	-2.4657	->
0	-27.4563	<-
0	-6.7884	<-
1	-2.6923	->
1	-44.1449	->
0	-247.289	<-
1	-50.3076	->
1	-56.446	->
0	-200.5132	<-
0	-161.4245	<-
0	-194.5537	<-
0	-176.3274	<-
1	-42.1351	->
0	-28.905	<-
0	-11.8803	<-
1	-9.7357	->
0	-79.857	<-
1	-49.9823	->
1	-0.94564	->
0	-23.8437	<-
0	-5.4973	<-
1	-0.1302	->
1	-3.4321	->
1	-3.0699	->
1	-5.7344	->
1	-5.3695	->
1	-22.3776	->
1	-18.8701	->
1	-2.7388	->
1	-1.5851	->
1	-7.4586	->
1	-7.2194	->
1	-0.1426	->
1	-0.91432	->
0	-4.7353	<-
0	-6.6726	<-
0	-14.0761	<-
1	-3.0249	->
1	-1.2179	->
1	-0.95516	->
1	-8.8716	->
1	-29.0417	->
1	-1790.9733	->
0	-453.3442	<-
1	-810.1132	->
1	-815.112	->
0	-3.7115	->
0	-6.4982	->
0	-1.4546	->
0	-8.0886	->
1	-5.3002	<-
1	-7.5397	<-
1	-8.5801	<-
1	-6.2415	<-
1	-7.7249	<-
1	-6.1752	<-
1	-6.7325	<-
1	-10.0177	<-
1	-8.7154	<-
1	-42.0437	->
1	-15.2528	->
1	-10.6173	->
1	-26.0992	->
1	-121.022	<-
1	-114.166	<-
0	-173.3802	<-
1	-6.8587	->
0	-2312.438	->
1	-32.285	->
0	-73.389	->
1	-3.1365	->
0	-129.2646	->
1	-136.6446	->
0	-25.0078	->
0	-31.4313	->
1	-2.0216	->
0	-6.1888	<-
0	-11.4241	<-
0	-5.1084	->
1	-1.2336	->
1	-5.9592	->
0	-935.0958	<-
0	-16.7868	<-
1	-0.89281	<-
1	-1.2583	<-
1	-9.1258	->
1	-5.9994	<-
0	-16.1144	<-
1	-76.309	->
1	-99.9725	->
1	-135.1545	->
0	-0.54689	<-
1	-6.1707	->
0	-27.311	->
1	-3.3681	->
1	-5.5121	->
1	-1.2813	->
1	-0.54288	->
0	-0.62788	<-
0	-2.3365	->
