Correct	Eps	Cds
1	231.9582	->
1	45.7831	->
1	1.8253	->
1	9.7825	->
1	0.68915	->
1	1.1992	->
1	0.74853	->
0	0.40166	<-
1	3.2261	->
1	0.27336	->
1	7.0878	->
0	13.6695	<-
1	3.2011	->
0	0.75824	<-
1	6.3634	->
1	13.4682	->
0	5.0754	<-
1	4.9776	->
1	0.1939	->
1	75.2197	->
0	9.2409	<-
1	12.8939	->
1	87.1382	->
0	11.8484	<-
1	21.558	->
1	646.8158	->
1	5402.9447	->
0	159.7742	<-
1	33.4881	->
0	0.56227	<-
0	2.1209	<-
1	166.2564	->
1	1402.8112	->
1	444.6125	->
1	640.5403	->
1	250.3705	->
1	41.9938	->
1	719.4785	->
1	11.0758	->
1	704.212	->
1	51.3435	->
1	31.5397	->
0	0.96752	<-
0	1.0184	<-
0	0.80101	<-
0	1.4868	<-
0	2473.5152	->
0	1.9921	->
0	18.7642	->
0	1.2325	->
0	1.4254	->
1	5.0808	<-
1	2.7682	<-
1	3.5885	<-
1	16.029	<-
1	3.6463	<-
1	0.90046	<-
1	1.5649	<-
1	3.733	<-
1	1.9771	->
0	1.0471	<-
0	1.2837	<-
1	0.93475	->
1	1.4086	<-
0	1.5636	->
0	6.552	<-
1	1988.5889	->
0	0.86828	->
1	6.3276	->
0	0.63245	->
1	1.5739	->
0	30.551	->
1	6.2102	->
1	1.3495	<-
0	98.0813	->
1	0.4615	->
1	1.2995	->
0	15.1359	<-
0	18.1795	->
1	327.4249	->
1	0.86741	->
0	39767.8672	<-
1	25.2406	->
0	0.98672	->
0	1.1407	->
1	16.0769	->
0	47.1351	->
0	1.2977	<-
1	4.1116	->
1	195.3966	->
1	39.6716	->
0	62.4317	<-
0	2.2079	<-
0	0.74307	->
1	4.1394	->
0	0.14957	<-
0	1281.6419	<-
0	7.7537	<-
1	583.8292	->
0	231.9582	->
